ent_coef,level,seed,won,progress,return
0.01,blocks_and_spikes,0,1,1.0,110.08070000000131
0.01,blocks_and_spikes,1,0,0.21643749999999973,11.643749999999972
0.01,blocks_and_spikes,2,0,0.21643749999999973,11.643749999999972
0.01,blocks_and_spikes,3,0,0.21643749999999973,11.643749999999972
0.01,blocks_and_spikes,4,0,0.21643749999999973,11.643749999999972
